,Neighbourhood,Population,Cluster Labels,Crime_Rate,Youth (15-24 years),Working Age (25-54 years),Total Pizzerias
0,Yonge-St.Clair,12528,3,574.7126436781609,920,5960,30
1,York University Heights,27593,2,2439.0243902439024,4750,12290,21
2,Lansing-Westgate,16164,0,927.9881217520415,2105,7590,18
3,Yorkdale-Glen Park,14804,3,2242.637125101324,1870,5860,26
4,Stonegate-Queensway,25051,2,626.7214881641452,2495,10660,17
5,Tam O'Shanter-Sullivan,27446,2,779.7128907673249,3225,10675,20
6,The Beaches,21567,0,890.2489915148143,2075,9590,37
7,Thistletown-Beaumond Heights,10360,3,888.0308880308879,1410,4160,13
8,Thorncliffe Park,21108,0,677.468258480197,2455,9020,14
9,Danforth East York,17180,0,628.6379511059371,1450,7930,47
10,Humewood-Cedarvale,14365,3,758.7887225896276,1610,7005,40
11,Islington-City Centre West,43965,1,1221.4261344251108,4695,20640,18
12,Danforth,9666,3,1282.8470929029588,920,4370,50
13,Rustic,9941,3,1005.9350165979278,1405,3615,30
14,Scarborough Village,16724,0,1584.5491509208325,2360,6685,11
15,South Parkdale,21849,0,1720.9025584694953,2275,12440,35
16,South Riverdale,27876,2,1739.8478978332614,2445,15025,13
17,St.Andrew-Windfields,17812,0,769.1443970357063,2540,6800,8
18,Taylor-Massey,15683,0,1077.5999489893516,1690,7580,36
19,Humber Summit,12416,3,2110.180412371134,1720,4855,12
20,Humbermede,15545,0,1344.4837568349951,2225,6445,15
21,Centennial Scarborough,13362,3,643.6162251160006,1850,5030,8
22,Church-Yonge Corridor,31340,2,2769.623484365029,5060,18780,50
23,Clairlea-Birchmount,26984,2,1626.8900088941596,3495,11940,14
24,Cliffcrest,15935,0,1255.0988390335738,2145,6070,6
25,Flemingdon Park,21933,0,902.7492819039803,3060,9185,13
26,Corso Italia-Davenport,14133,3,877.3791834713082,1545,6930,49
27,Ionview,13641,3,996.9943552525475,1645,6050,25
28,Junction Area,14366,3,1162.4669358206877,1465,7470,46
29,Broadview North,11499,3,817.462388033742,1040,5680,44
30,Princess-Rosethorn,11051,3,1113.0214460229843,1580,3825,3
31,North Riverdale,11916,3,1191.6750587445451,1170,5490,50
32,Etobicoke West Mall,11848,3,666.7792032410533,1460,5025,11
33,Forest Hill North,12806,3,484.148055598938,1500,5390,28
34,Glenfield-Jane Heights,30491,2,1564.3960512938243,4520,11590,6
35,Greenwood-Coxwell,14417,3,1338.6973711590483,1305,7240,50
36,Guildwood,9917,3,746.1934052636886,1065,3370,10
37,Trinity-Bellwoods,16556,0,1588.5479584440689,1630,9210,50
38,Victoria Village,17510,0,1113.6493432324385,2030,7170,8
39,Waterfront Communities-The Island,65913,1,1922.2308194134691,7840,45105,50
40,West Hill,27392,2,2172.167056074766,3950,10765,23
41,West Humber-Clairville,33312,2,2713.7367915465898,5445,13845,6
42,Westminster-Branson,26274,2,749.7906675801172,3355,10865,17
43,Kennedy Park,17123,0,1827.9507095719207,2175,7120,16
