,Neighbourhood,Population,Crime_Rate,Youth (15-24 years),Working Age (25-54 years)
0,Yonge-St.Clair,12528,574.7126436781609,920,5960
1,York University Heights,27593,2439.0243902439024,4750,12290
2,Lansing-Westgate,16164,927.9881217520415,2105,7590
3,Yorkdale-Glen Park,14804,2242.637125101324,1870,5860
4,Stonegate-Queensway,25051,626.7214881641452,2495,10660
5,Tam O'Shanter-Sullivan,27446,779.7128907673249,3225,10675
6,The Beaches,21567,890.2489915148143,2075,9590
7,Thistletown-Beaumond Heights,10360,888.0308880308879,1410,4160
8,Thorncliffe Park,21108,677.468258480197,2455,9020
9,Danforth East York,17180,628.6379511059371,1450,7930
10,Humewood-Cedarvale,14365,758.7887225896276,1610,7005
11,Islington-City Centre West,43965,1221.4261344251108,4695,20640
12,Danforth,9666,1282.8470929029588,920,4370
13,Rustic,9941,1005.9350165979278,1405,3615
14,Scarborough Village,16724,1584.5491509208325,2360,6685
15,South Parkdale,21849,1720.9025584694953,2275,12440
16,South Riverdale,27876,1739.8478978332614,2445,15025
17,St.Andrew-Windfields,17812,769.1443970357063,2540,6800
18,Taylor-Massey,15683,1077.5999489893516,1690,7580
19,Humber Summit,12416,2110.180412371134,1720,4855
20,Humbermede,15545,1344.4837568349951,2225,6445
21,Centennial Scarborough,13362,643.6162251160006,1850,5030
22,Church-Yonge Corridor,31340,2769.623484365029,5060,18780
23,Clairlea-Birchmount,26984,1626.8900088941596,3495,11940
24,Cliffcrest,15935,1255.0988390335738,2145,6070
25,Flemingdon Park,21933,902.7492819039803,3060,9185
26,Corso Italia-Davenport,14133,877.3791834713082,1545,6930
27,Ionview,13641,996.9943552525475,1645,6050
28,Junction Area,14366,1162.4669358206877,1465,7470
29,Broadview North,11499,817.462388033742,1040,5680
30,Princess-Rosethorn,11051,1113.0214460229843,1580,3825
31,North Riverdale,11916,1191.6750587445451,1170,5490
32,Etobicoke West Mall,11848,666.7792032410533,1460,5025
33,Forest Hill North,12806,484.148055598938,1500,5390
34,Glenfield-Jane Heights,30491,1564.3960512938243,4520,11590
35,Greenwood-Coxwell,14417,1338.6973711590483,1305,7240
36,Guildwood,9917,746.1934052636886,1065,3370
37,Trinity-Bellwoods,16556,1588.5479584440689,1630,9210
38,Victoria Village,17510,1113.6493432324385,2030,7170
39,Waterfront Communities-The Island,65913,1922.2308194134691,7840,45105
40,West Hill,27392,2172.167056074766,3950,10765
41,West Humber-Clairville,33312,2713.7367915465898,5445,13845
42,Westminster-Branson,26274,749.7906675801172,3355,10865
43,Kennedy Park,17123,1827.9507095719207,2175,7120
44,Kingsview Village-The Westway,22000,1054.5454545454545,3020,8635
45,Bayview Woods-Steeles,13154,661.3957731488521,1635,4490
46,Clanton Park,16472,995.628946090335,1910,7470
47,Keelesdale-Eglinton West,11058,958.5820220654729,1430,4790
48,O'Connor-Parkview,18675,1140.562248995984,2385,7855
49,Old East York,9233,844.7958410050904,915,4035
50,Casa Loma,10968,656.4551422319474,1080,4555
51,Kensington-Chinatown,17945,2975.759264419058,3350,8760
52,Kingsway South,9271,776.6152518606407,1100,3245
53,Runnymede-Bloor West Village,10070,903.6742800397219,960,4605
54,Forest Hill South,10732,503.16809541557956,1355,4235
55,Henry Farm,15723,661.4513769636837,2330,8045
56,Annex,30526,1490.5326606826968,3750,15040
57,Caledonia-Fairbank,9955,1285.7860371672527,1220,4570
58,Humber Heights-Westmount,10948,748.9952502740226,1140,3790
59,Roncesvalles,14974,1262.1877921731,1305,7990
60,University,7607,2852.6357302484553,1485,3590
61,Hillcrest Village,16934,673.2018424471478,2170,6060
62,Mount Dennis,13593,1360.994629588759,1815,5930
63,Dorset Park,25003,1483.821941367036,3155,10485
64,Edenbridge-Humber Valley,15535,733.8268426134536,1805,5940
65,Dovercourt-Wallace Emerson-Junction,36625,1116.7235494880545,3925,19790
66,Newtonbrook West,23831,1099.4083336830179,3325,10410
67,Niagara,31180,1218.7299550994226,2415,23320
68,Beechborough-Greenbrook,6577,1490.0410521514368,855,2750
69,High Park North,22162,672.3219925999458,1890,11660
70,High Park-Swansea,23925,756.5308254963428,2125,11570
71,Highland Creek,12494,912.4379702257085,1925,4620
72,Oakridge,13845,1791.2603828096785,1680,6050
73,Rosedale-Moore Park,20923,927.2092912106294,2185,7925
74,Oakwood Village,21210,966.5252239509665,2275,9535
75,Wexford/Maryvale,27917,1235.8061396281835,3650,11380
76,Eglinton East,22776,1466.455918510713,3130,9180
77,Elms-Old Rexdale,9456,1110.4060913705584,1440,3700
78,Agincourt North,29113,549.582660667056,3705,11305
79,Agincourt South-Malvern West,23757,1073.367849475944,3360,9965
80,Englemount-Lawrence,22372,1171.1067405685678,3030,8385
81,Eringate-Centennial-West Deane,18588,785.4529804174737,2405,6910
82,L'Amoreaux,43993,656.9226922464937,5730,17210
83,Banbury-Don Mills,27695,649.9368116988626,2730,10810
84,Bathurst Manor,15873,856.8008568008568,1940,6655
85,Alderwood,12054,854.4881367181019,1235,5220
86,Regent Park,10803,1295.9363139868556,1775,5575
87,Bendale,29960,1451.9359145527371,4605,12050
88,Birchcliffe-Cliffside,22291,1426.5847202907003,2440,9075
89,Downsview-Roding-CFB,35052,1640.4199475065616,4340,15045
90,Lambton Baby Point,7985,538.5097056981841,905,3310
91,Bay Street Corridor,25797,4050.8586269721286,6860,13065
92,Black Creek,21737,1761.9726733219854,3290,8525
93,Willowdale East,50434,616.6474997025816,6940,25850
94,Willowdale West,16936,997.8743504959848,2230,7480
95,Rouge,46496,612.9559532002753,6700,18510
96,Mount Olive-Silverstone-Jamestown,32954,1377.6779753595922,5240,13615
97,Mount Pleasant East,16775,304.02384500745154,1705,7620
98,Mount Pleasant West,29658,563.0858453031223,2520,17100
99,Blake-Jones,7727,1423.579655752556,885,3605
100,Rexdale-Kipling,10529,1253.680311520562,1355,4300
101,East End-Danforth,21381,1482.624760301202,2210,9990
102,New Toronto,11463,1552.822123353398,1390,5215
103,Palmerston-Little Italy,13826,1186.1709822074354,1465,7845
104,Parkwoods-Donalda,34805,830.3404683235167,4680,14780
105,Pelmo Park-Humberlea,10722,1203.1337437045327,1370,4645
106,Playter Estates-Danforth,7804,1652.9984623270118,735,3725
107,Willowridge-Martingrove-Richview,22156,1114.8221700667991,2625,8140
108,Woburn,53485,1043.283163503786,7660,21945
109,Woodbine-Lumsden,7865,699.3006993006993,675,3790
110,Bayview Village,21396,696.3918489437278,2505,10310
111,Bedford Park-Nortown,23236,796.1783439490446,3210,8410
112,Rockcliffe-Smythe,22246,1276.6340016182685,2740,9255
