OBJECTID,Neighbourhood,Hood_ID,Population,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_AVG,Assault_CHG,Assault_Rate_2019,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2019,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_2019,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2019,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_AVG,Homicide_CHG,Homicide_Rate_2019,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_AVG,Robbery_CHG,Robbery_Rate_2019,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2019,Shape__Area,Shape__Length
1,Yonge-St.Clair,097,12528,20,29,39,27,34,37,31,0.09,295.3,2,3,7,2,6,6,4.3,0,47.9,37,20,12,19,24,28,23.3,0.17,223.5,0,0,0,0,0,0,0,0,0,6,5,6,8,5,4,5.7,-0.2,31.9,4,5,8,0,3,6,4.3,1,47.9,1161314.72753906,5873.27058177454
2,York University Heights,027,27593,271,296,361,344,357,370,333.2,0.04,1340.9,105,100,105,92,92,144,106.3,0.57,521.9,107,139,98,105,122,108,113.2,-0.11,391.4,1,0,2,1,1,0,0.8,-1,0,59,84,70,75,88,79,75.8,-0.1,286.3,30,46,37,39,38,28,36.3,-0.26,101.5,13246655.9638672,18504.7773257886
3,Lansing-Westgate,038,16164,44,80,68,85,75,72,70.7,-0.04,445.4,19,22,27,26,16,32,23.7,1,198,34,27,41,42,50,39,38.8,-0.22,241.3,0,0,0,0,10,0,1.7,-1,0,11,5,9,17,35,11,14.7,-0.69,68.1,4,5,5,11,6,11,7,0.83,68.1,5346185.89599609,11112.1096247149
4,Yorkdale-Glen Park,031,14804,106,136,174,161,175,209,160.2,0.19,1411.8,63,53,41,52,63,61,55.5,-0.03,412.1,51,57,66,58,64,84,63.3,0.31,567.4,1,1,1,1,2,1,1.2,-0.5,6.8,23,21,24,35,44,42,31.5,-0.05,283.7,23,14,26,23,20,29,22.5,0.45,195.9,6038325.9597168,10079.4269201273
5,Stonegate-Queensway,016,25051,88,71,76,95,87,82,83.2,-0.06,327.3,34,29,12,32,31,34,28.7,0.1,135.7,71,45,49,49,39,64,52.8,0.64,255.5,0,0,0,0,0,0,0,0,0,21,14,16,26,25,22,20.7,-0.12,87.8,7,8,4,6,7,4,6,-0.43,16,7946201.73095703,11853.1898780759
6,Tam O'Shanter-Sullivan,118,27446,106,90,98,124,133,107,109.7,-0.2,389.9,22,19,22,18,32,25,23,-0.22,91.1,49,68,61,54,77,67,62.7,-0.13,244.1,0,1,0,0,1,2,0.7,1,7.3,28,39,24,27,18,30,27.7,0.67,109.3,4,6,9,8,3,3,5.5,0,10.9,5422344.60717773,10750.4681247611
7,The Beaches,063,21567,83,108,86,111,94,81,93.8,-0.14,375.6,8,23,7,10,30,20,16.3,-0.33,92.7,44,42,77,33,43,57,49.3,0.33,264.3,0,0,0,0,0,0,0,0,0,15,14,19,48,10,16,20.3,0.6,74.2,8,5,3,7,5,9,6.2,0.8,41.7,3595829.05029297,11275.1807429357
8,Thistletown-Beaumond Heights,003,10360,56,52,39,51,50,74,53.7,0.48,714.3,10,14,13,23,42,50,25.3,0.19,482.6,22,23,23,17,16,13,19,-0.19,125.5,0,0,0,0,2,0,0.3,-1,0,17,21,16,20,9,7,15,-0.22,67.6,1,3,1,4,2,3,2.3,0.5,29,3339481.03955078,10828.4444773689
9,Thorncliffe Park,055,21108,86,105,87,99,93,115,97.5,0.24,544.8,12,11,4,7,9,13,9.3,0.44,61.6,33,27,24,19,23,27,25.5,0.17,127.9,3,1,1,4,0,0,1.5,0,0,16,7,16,9,5,13,11,1.6,61.6,9,6,11,9,3,5,7.2,0.67,23.7,3126553.81347656,7502.70942967791
10,Danforth East York,059,17180,64,50,44,74,80,83,65.8,0.04,483.1,6,7,12,10,12,9,9.3,-0.25,52.4,31,22,43,25,18,24,27.2,0.33,139.7,0,0,0,0,0,0,0,0,0,2,6,5,8,8,6,5.8,-0.25,34.9,1,3,4,0,2,7,2.8,2.5,40.7,2188597.61035156,7623.85781649933
